step,mean_return,std_return,mean_cost,std_cost,mean_length,selection_score
0,2.477156835331466,0.985057486538175,64.3,149.55269974159611,237.2,2.1556568353314662
25000,3.965939152806903,2.327025008640207,26.6,25.164260370612922,270.8,3.832939152806903
50000,3.556295343511966,2.5496367826095554,111.2,156.16324791704352,553.8,3.000295343511966
75000,2.956013361296942,1.560519009547975,51.5,96.73287962218431,220.8,2.6985133612969423
100000,3.9972898619636474,3.537789763024398,66.9,116.81904810432243,375.4,3.662789861963647
125000,3.7602642800459862,2.0710355456286593,86.1,160.5468467457396,378.4,3.3297642800459863
150000,3.580932038375903,2.104094916081675,48.2,58.06169132913715,450.0,3.339932038375903
175000,2.484423531795368,1.2881158772482761,65.3,159.4572356464265,345.4,2.157923531795368
200000,3.8044451183510204,1.8344033867882445,45.4,77.14946532543178,396.8,3.5774451183510205
225000,3.535408922458372,1.5174190367820117,76.2,149.04281264120053,333.6,3.154408922458372
250000,3.7052231592241442,2.462787803387416,118.0,169.28851112819203,349.2,3.1152231592241444
275000,3.555488898503593,1.8418593850897473,33.1,32.491383473161,198.0,3.3899888985035926
300000,3.3026677212898776,2.5233162061796253,123.4,201.36494233108206,436.4,2.6856677212898776
325000,2.821651529865613,2.104715773448745,46.5,64.94343692783744,303.0,2.589151529865613
350000,2.803053159528331,1.422663544274632,12.4,13.440238093129155,176.4,2.741053159528331
375000,2.7277224937651248,1.2276554624207794,131.9,197.32280658859483,410.4,2.068222493765125
400000,2.767512416270673,1.373174562474645,26.0,43.993181289831725,152.8,2.637512416270673
425000,2.5743988072073245,1.0577488070393894,53.5,97.58714054628304,202.8,2.3068988072073244
450000,3.064530474702102,1.6132285317408495,62.6,139.913687679226,277.0,2.751530474702102
475000,3.689143615596162,3.52536796688511,139.2,214.91570440523884,424.2,2.9931436155961624
500000,2.975389504735375,1.1300023468017781,70.4,156.64431046163153,297.4,2.6233895047353752
525000,3.1125643126948086,3.205206071358729,50.0,50.53711507397311,419.0,2.8625643126948086
550000,1.8541330456859857,2.0443710140430293,131.6,220.7941122403403,582.2,1.1961330456859858
575000,2.4459718479198655,2.159319486445993,72.7,141.82598492518923,458.8,2.0824718479198654
600000,1.5916653528032527,1.420934103664754,13.2,25.00319979522621,327.2,1.5256653528032527
625000,2.756132334071228,1.8972547360134244,34.1,72.55267052286911,361.4,2.585632334071228
650000,2.8782376682358946,2.113262753199269,73.0,131.14877048604,441.4,2.5132376682358943
675000,2.46750730239974,1.9213006374815957,44.0,82.98795093265046,372.6,2.2475073023997396
700000,1.8901188855028856,1.5475796187574349,29.8,62.61756941945287,353.8,1.7411188855028856
725000,2.47537348676409,1.8200309868286866,32.7,54.301104961133156,345.8,2.31187348676409
750000,2.7648404223272474,0.7435002625347437,25.2,32.7438543852125,299.0,2.6388404223272475
775000,3.4727785767794073,1.6650041881690472,33.5,37.20819802140383,236.4,3.3052785767794073
800000,3.9585133650552917,2.7076444532318864,78.6,97.92568610941666,417.2,3.565513365055292
825000,3.1960577867270183,1.7810592598059223,55.3,73.45073178668814,371.6,2.9195577867270184
850000,3.3571362623461547,1.6500608361232045,26.4,22.698898651696737,310.2,3.2251362623461546
875000,3.429265472353516,2.592558174621371,48.0,73.63966322573725,441.6,3.189265472353516
900000,3.228187971669739,2.2612741675400265,32.6,42.195260397347944,290.2,3.065187971669739
925000,4.453647623856106,4.035015014111054,68.9,90.50795545144084,471.0,4.1091476238561055
950000,1.7852290018811572,1.2940647893569108,21.2,48.52380858918641,383.8,1.679229001881157
975000,2.0235713082752538,1.4819975513648997,34.9,45.859459220535946,458.8,1.8490713082752537
1000000,2.425048241913688,1.9682882671459827,31.5,32.37051127183505,350.0,2.267548241913688
1025000,1.6073027182611388,0.8662638626800561,17.0,23.40512764331782,457.8,1.5223027182611388
1050000,1.8849683331242715,1.1634855132254587,3.3,5.080354318352215,288.2,1.8684683331242715
1075000,2.3905599154378003,2.101642676296378,74.6,185.4325753474831,425.0,2.0175599154378006
1100000,3.0099473037046827,1.6531700262728053,18.9,30.706513966909363,250.6,2.9154473037046826
1125000,2.5311088303851745,1.774531746135638,22.0,31.739565214413382,392.2,2.4211088303851747
1150000,2.379813106889636,1.915551024673895,106.7,202.25778106169366,456.8,1.8463131068896361
1175000,2.4649654730516533,2.8349656665632206,67.8,114.23817225428634,549.8,2.1259654730516533
1200000,2.7744996200801184,2.219583244297267,29.1,38.28433099846463,335.0,2.6289996200801182
1225000,2.4651050728412183,2.4047079437436367,26.1,26.793469353557036,399.8,2.334605072841218
1250000,2.6253835722371517,1.2418258176624473,16.3,25.604882346927507,276.4,2.5438835722371516
1275000,2.5918503447307453,1.137824776682549,14.7,20.904784141435183,278.6,2.518350344730745
1300000,2.4755512603269634,2.3468268954258398,25.6,25.73402417034693,438.4,2.3475512603269633
1325000,2.079771119213182,1.8429011987675465,15.6,25.768973592287292,304.4,2.001771119213182
1350000,2.9096166850077108,1.9894612292620404,16.7,20.523401277566055,337.4,2.826116685007711
1375000,0.6600722544744624,8.306094348721372,40.4,87.25044412494415,483.0,0.4580722544744624
1400000,1.4881883180817095,4.067250030386763,14.8,21.46997904051143,349.8,1.4141883180817094
1425000,2.154523948575168,1.7123028923197035,43.0,88.64084837139139,510.2,1.9395239485751679
1450000,2.7003164605688674,2.5010848286926186,37.6,81.12114397615458,310.6,2.5123164605688673
1475000,2.931295709516156,2.289773412547073,47.3,81.63461275708974,389.2,2.694795709516156
1500000,2.772658386237632,2.2031407430747576,92.9,167.70178889922434,396.0,2.308158386237632
