step,episode,reward,learning_reward,cost,length
23655,115,2.936865093775048,2.8468650937750475,3.0,113
23777,116,2.990498844094995,2.810498844094995,6.0,122
24424,117,3.813717047531884,3.4537170475318835,12.0,647
25026,118,3.165225435192607,1.455225435192605,57.0,602
25112,119,1.3064199006598476,1.3064199006598476,0.0,86
25191,120,1.2859899731965077,1.1959899731965076,3.0,79
25259,121,1.2744211374909071,1.2744211374909071,0.0,68
25311,122,1.994646687142167,1.994646687142167,0.0,52
25350,123,1.6652299456458253,1.6652299456458253,0.0,39
25438,124,2.120162973919788,2.120162973919788,0.0,88
25534,125,1.6647950533492466,1.3947950533492464,9.0,96
26534,126,0.8460286477453556,-17.483971352254628,611.0,1000
26696,127,3.700211761741697,3.5502117617416977,5.0,162
26749,128,2.1838801649957844,2.1838801649957844,0.0,53
27749,129,-0.36994977013970054,-0.36994977013970054,0.0,1000
27854,130,1.9670667238517692,1.9070667238517691,2.0,105
27939,131,3.0190111444310626,2.3890111444310618,21.0,85
28142,132,2.349446758326621,0.06944675832662073,76.0,203
28196,133,2.1819620571116367,2.1819620571116367,0.0,54
28301,134,3.2504603834688535,2.980460383468854,9.0,105
28438,135,4.050249467250598,2.940249467250598,37.0,137
28473,136,1.4161180690188797,1.4161180690188797,0.0,35
28577,137,1.8046215726588635,1.144621572658863,22.0,104
28604,138,1.3449636605170736,1.3449636605170736,0.0,27
29604,139,0.7082067556033683,-12.881793244396631,453.0,1000
29667,140,2.296663758085882,2.1466637580858814,5.0,63
29767,141,3.5818326450325246,3.5518326450325244,1.0,100
30022,142,3.1457089766516075,2.7257089766516085,14.0,255
30205,143,3.010149966964367,2.980149966964367,1.0,183
30378,144,2.9041219861404346,2.1841219861404335,24.0,173
30432,145,2.171984789434683,2.171984789434683,0.0,54
31432,146,-1.064918754571746,-1.064918754571746,0.0,1000
31498,147,2.387234417891662,1.9372344178916614,15.0,66
31611,148,3.4180766811849916,3.3880766811849914,1.0,113
31761,149,1.6207303431314728,1.6207303431314728,0.0,150
31898,150,3.2509679437064842,2.9209679437064837,11.0,137
32038,151,3.6626850188664433,3.632685018866443,1.0,140
32176,152,2.0691177275234223,2.0691177275234223,0.0,138
32247,153,2.6846460378832377,2.624646037883238,2.0,71
32404,154,2.3893668921267706,1.8193668921267703,19.0,157
32457,155,1.849126282739208,1.8191262827392078,1.0,53
33457,156,-0.1155940032597984,-0.1155940032597984,0.0,1000
33539,157,1.7243326010369526,1.2443326010369526,16.0,82
33607,158,2.517063669142367,2.457063669142367,2.0,68
33726,159,1.8417148361582183,1.391714836158218,15.0,119
33758,160,1.4859994786424842,1.4859994786424842,0.0,32
33830,161,1.3663496076572217,1.3663496076572217,0.0,72
33922,162,2.646547736003834,2.646547736003834,0.0,92
33961,163,1.677372288730946,1.677372288730946,0.0,39
34040,164,2.892695108451055,2.892695108451055,0.0,79
34267,165,3.4859941487774084,2.825994148777408,22.0,227
34327,166,2.250705521653169,2.250705521653169,0.0,60
34395,167,2.3470102912834045,2.2270102912834036,4.0,68
34456,168,1.5090961374237108,1.5090961374237108,0.0,61
34503,169,1.6144915850384276,1.6144915850384276,0.0,47
34683,170,2.9255342058984395,2.4755342058984393,15.0,180
34738,171,2.1917611078491044,2.1917611078491044,0.0,55
34876,172,2.224447784792887,1.7144477847928865,17.0,138
35026,173,2.3207918330652326,1.9307918330652323,13.0,150
35085,174,2.3328666236910243,2.3328666236910243,0.0,59
35141,175,2.114414998697664,2.114414998697664,0.0,56
35190,176,1.4721052760441244,1.4721052760441244,0.0,49
35438,177,1.9591073121405478,0.9991073121405476,32.0,248
35472,178,1.5365445887233249,1.5365445887233249,0.0,34
35535,179,2.209142251176096,2.209142251176096,0.0,63
35577,180,1.7270028757199185,1.7270028757199185,0.0,42
36577,181,-0.0009213708209827587,-0.0009213708209827587,0.0,1000
36611,182,1.5434134560976742,1.5434134560976742,0.0,34
36714,183,1.6100855436168304,0.9200855436168301,23.0,103
36812,184,3.0101999668317445,2.9201999668317447,3.0,98
36929,185,2.2717450593248603,1.4317450593248602,28.0,117
37001,186,1.2985821624640619,1.2685821624640619,1.0,72
37039,187,1.6788402191301044,1.6788402191301044,0.0,38
37153,188,2.063081966485339,1.9730819664853387,3.0,114
37267,189,1.6639422491219016,-0.13605775087809935,60.0,114
37374,190,1.7804903826322658,1.7804903826322658,0.0,107
37537,191,2.602307890527791,2.602307890527791,0.0,163
37633,192,3.0042308167526883,2.5242308167526883,16.0,96
37663,193,1.3768949215939554,1.3768949215939554,0.0,30
37713,194,1.6596917735303842,1.6596917735303842,0.0,50
37770,195,2.065861012829786,2.065861012829786,0.0,57
37957,196,3.1730705920588855,3.0230705920588856,5.0,187
38047,197,3.259354927821163,2.5393549278211625,24.0,90
38189,198,2.5322217569355026,2.5322217569355026,0.0,142
38289,199,3.4633291604924867,3.4633291604924867,0.0,100
38352,200,2.0225571707883683,1.6325571707883686,13.0,63
38431,201,2.5433542280467414,2.5433542280467414,0.0,79
38498,202,2.506446240947147,2.1464462409471476,12.0,67
38606,203,3.046885698388005,2.9868856983880048,2.0,108
38643,204,1.643769263030123,1.643769263030123,0.0,37
38766,205,1.8580427402756685,1.8580427402756685,0.0,123
39099,206,3.701799201389144,3.701799201389144,0.0,333
39196,207,3.214127370193348,3.1541273701933483,2.0,97
39360,208,2.764784203336438,2.7347842033364382,1.0,164
40360,209,0.04890356906533366,0.04890356906533366,0.0,1000
40444,210,3.086756216547145,2.9067562165471448,6.0,84
40566,211,1.8845677098000784,1.8245677098000783,2.0,122
40627,212,1.6818622993502632,1.6518622993502634,1.0,61
40708,213,2.5603687944043863,2.1403687944043863,14.0,81
40746,214,1.668985684542614,1.668985684542614,0.0,38
40859,215,1.8548950224669292,1.374895022466929,16.0,113
40988,216,1.4769831386722698,1.41698313867227,2.0,129
41112,217,3.0124734550810945,2.862473455081095,5.0,124
41204,218,3.2490366942271747,2.5890366942271745,22.0,92
41240,219,1.6143317831089263,1.6143317831089263,0.0,36
41308,220,2.206663647281682,1.9966636472816819,7.0,68
41444,221,1.5439706359774692,1.333970635977469,7.0,136
41583,222,2.5530449307244547,2.253044930724454,10.0,139
41712,223,3.5710713349293357,2.4910713349293347,36.0,129
41794,224,2.0106170220551816,1.7406170220551815,9.0,82
41837,225,1.8378095731980366,1.4478095731980365,13.0,43
41901,226,1.8945736470043473,1.7745736470043472,4.0,64
41974,227,1.3515728463183247,1.2315728463183249,4.0,73
42011,228,1.6001423982426706,1.6001423982426706,0.0,37
42665,229,3.5254997952985567,0.9454997952985549,86.0,654
42780,230,2.14992480634609,2.05992480634609,3.0,115
43780,231,0.02377250300770417,0.02377250300770417,0.0,1000
43897,232,3.910827516869825,3.580827516869826,11.0,117
43997,233,1.3926220515012144,1.3326220515012144,2.0,100
44135,234,1.929313969598115,1.929313969598115,0.0,138
44203,235,2.570581989062545,2.2705819890625447,10.0,68
44292,236,1.3970239023597188,1.3970239023597188,0.0,89
44392,237,2.000240037804229,1.910240037804229,3.0,100
44618,238,1.5550545457356757,1.5550545457356757,0.0,226
44746,239,3.6792764041619903,3.52927640416199,5.0,128
44880,240,1.5996400861399809,1.5096400861399808,3.0,134
44918,241,1.6796505863247417,1.6796505863247417,0.0,38
44982,242,2.394851835201605,2.3648518352016055,1.0,64
45041,243,1.9479575071017206,1.7079575071017206,8.0,59
45094,244,2.157446994558951,2.037446994558951,4.0,53
45204,245,1.6713752694174366,1.5813752694174366,3.0,110
