step,mean_reward,std_reward,mean_cost,std_cost,mean_length,score
25000,2.35792001416953,0.6641538552466754,10.5,12.403628501370072,159.3,2.30542001416953
50000,2.2091768383552144,0.808475993735799,57.3,155.75175761448088,252.8,1.9226768383552144
75000,1.5588515144931296,2.2490903413269905,67.0,157.6559545339154,293.3,1.2238515144931297
100000,2.361932903433863,0.6700203359349425,30.7,49.90000000000001,176.3,2.208432903433863
125000,2.210649969505048,0.8194144562190259,63.2,157.572078744935,290.4,1.8946499695050478
150000,2.2210995977584327,0.805705156415278,62.8,151.26123098798317,282.9,1.9070995977584326
