step,episode,raw_return,learning_return,cost,length
500,1,1.1399718075678742,-3.9800281924321212,256.0,500
769,2,2.494346088607924,2.4343460886079242,3.0,269
931,3,2.406346759833366,2.346346759833366,3.0,162
1371,4,3.5501938438989207,1.9701938438989195,79.0,440
1614,5,3.202735684362717,2.222735684362717,49.0,243
1769,6,2.8246110428132916,2.764611042813291,3.0,155
1901,7,2.1684921690847707,2.1684921690847707,0.0,132
1949,8,1.9397619300025408,1.9397619300025408,0.0,48
2110,9,4.152126090091566,4.0121260900915665,7.0,161
2269,10,2.9102392149379117,2.6102392149379114,15.0,159
2496,11,2.8978066427346834,2.3578066427346824,27.0,227
2555,12,2.3670468996640057,2.3670468996640057,0.0,59
2895,13,3.4481598295365576,2.7281598295365583,36.0,340
2972,14,2.7112417021366895,2.5112417021366893,10.0,77
3006,15,1.4697318435157731,1.4697318435157731,0.0,34
3094,16,2.8905586928648774,2.7505586928648773,7.0,88
3196,17,3.6067592972064975,3.366759297206498,12.0,102
3262,18,2.110633458896287,1.9306334588962868,9.0,66
3311,19,2.047758655555057,1.8677586555550567,9.0,49
3358,20,1.9678037463818303,1.9478037463818303,1.0,47
3433,21,1.8500221451150534,1.530022145115053,16.0,75
3512,22,2.2941114193882557,2.014111419388256,14.0,79
3671,23,3.889222140678405,3.6492221406784044,12.0,159
4081,24,2.563940572992255,-1.0160594270077403,179.0,410
4151,25,2.5433173386772916,2.3033173386772914,12.0,70
4242,26,2.020744969538204,2.020744969538204,0.0,91
4300,27,2.0022271458741407,1.8822271458741409,6.0,58
4417,28,1.4922243447442558,1.4922243447442558,0.0,117
4453,29,1.5737043603137404,1.5737043603137404,0.0,36
4953,30,-0.09705906505960993,-0.09705906505960993,0.0,500
5020,31,1.5625396283773207,1.5625396283773207,0.0,67
5093,32,2.7038628673303267,2.683862867330327,1.0,73
5303,33,1.5600088572682327,1.5600088572682327,0.0,210
5475,34,2.4518210322574445,1.9518210322574445,25.0,172
5592,35,3.274704441570053,2.9347044415700534,17.0,117
5654,36,2.022736460085988,1.782736460085988,12.0,62
5843,37,3.1317137801764616,2.831713780176461,15.0,189
6017,38,2.032836076126478,1.992836076126478,2.0,174
6231,39,2.4031791054549037,2.3231791054549036,4.0,214
6357,40,1.8469080780452083,1.8469080780452083,0.0,126
6472,41,2.198047576139521,1.9980475761395202,10.0,115
6568,42,1.8143626612135584,1.8143626612135584,0.0,96
6686,43,2.502483360019908,2.462483360019908,2.0,118
6771,44,2.489220044966682,2.269220044966682,11.0,85
6849,45,2.1141013760081084,2.1141013760081084,0.0,78
6896,46,1.6243521144873267,1.6243521144873267,0.0,47
6964,47,2.2523181952098335,2.0123181952098332,12.0,68
7056,48,2.8809218236064087,2.6009218236064084,14.0,92
7118,49,1.8397574520682918,1.8397574520682918,0.0,62
7618,50,0.02292997280096687,0.02292997280096687,0.0,500
7681,51,1.5975662614115225,1.5975662614115225,0.0,63
7787,52,1.7917274798939022,1.7917274798939022,0.0,106
8221,53,1.951413995543881,1.7714139955438808,9.0,434
8292,54,2.2061998320014657,2.2061998320014657,0.0,71
8344,55,1.3937193450285696,1.3937193450285696,0.0,52
8496,56,1.708729344511728,1.708729344511728,0.0,152
8542,57,1.4628590042346623,1.4628590042346623,0.0,46
8652,58,3.0445761252937773,2.7445761252937766,15.0,110
9152,59,0.4816110089808854,-2.038388991019116,126.0,500
9311,60,3.5164383691968055,3.5164383691968055,0.0,159
9561,61,2.479789996522893,1.5997899965228919,44.0,250
9613,62,1.7162951171859817,1.7162951171859817,0.0,52
9639,63,1.3080900959328168,1.3080900959328168,0.0,26
9786,64,2.7232179745680716,2.703217974568072,1.0,147
9839,65,1.7988317624508954,1.7988317624508954,0.0,53
9924,66,2.297570705120293,2.017570705120293,14.0,85
10021,67,2.553458601817451,2.393458601817451,8.0,97
10184,68,2.384916863958993,1.8649168639589924,26.0,163
10302,69,1.6276772924400122,1.6276772924400122,0.0,118
10382,70,1.5928294183636202,1.5928294183636202,0.0,80
10473,71,3.201144763549915,2.7211447635499155,24.0,91
10532,72,2.1395024178647692,2.099502417864769,2.0,59
10617,73,2.259432296958591,1.7394322969585911,26.0,85
10726,74,1.4978146015732523,1.3578146015732524,7.0,109
10786,75,2.3706865492593163,2.3706865492593163,0.0,60
10884,76,3.228299144445201,2.7282991444452005,25.0,98
11041,77,2.6952672168287344,2.6952672168287344,0.0,157
11143,78,1.610986942221979,0.7309869422219788,44.0,102
11183,79,1.771923192571248,1.771923192571248,0.0,40
11683,80,0.14757951666055913,0.14757951666055913,0.0,500
11723,81,1.7203134479485747,1.7203134479485747,0.0,40
11824,82,2.1302840815349566,2.0902840815349566,2.0,101
12063,83,3.2307795036606284,2.7907795036606284,22.0,239
12189,84,2.3304037992586037,2.2104037992586036,6.0,126
12280,85,3.3905051892770213,3.130505189277021,13.0,91
12367,86,1.3611650735810337,1.3611650735810337,0.0,87
12510,87,3.3029150400594816,2.9429150400594803,18.0,143
12629,88,2.2533243748437046,2.053324374843704,10.0,119
12810,89,2.7232535003948852,2.2032535003948843,26.0,181
12900,90,3.196974762760818,3.1769747627608185,1.0,90
12926,91,1.328215751755928,1.328215751755928,0.0,26
12981,92,2.1823303348815664,2.1823303348815664,0.0,55
13043,93,2.4196143995287778,2.2396143995287776,9.0,62
13109,94,2.5571384292567667,2.497138429256767,3.0,66
13558,95,3.4453367572396143,0.1253367572396118,166.0,449
14017,96,3.418787459569133,2.8587874595691334,28.0,459
14077,97,2.3272128893994797,2.3272128893994797,0.0,60
14141,98,1.6331853460492565,1.4531853460492563,9.0,64
14221,99,2.9240004027558384,2.9240004027558384,0.0,80
14295,100,2.2126883371301185,2.072688337130119,7.0,74
14365,101,2.598330974294263,2.5783309742942633,1.0,70
14561,102,2.6697219316311243,2.6697219316311243,0.0,196
14637,103,2.861551084395784,2.861551084395784,0.0,76
14982,104,2.613677119351931,2.613677119351931,0.0,345
15116,105,2.2970189714301363,2.2970189714301363,0.0,134
15172,106,2.2410778467769426,2.221077846776943,1.0,56
15331,107,3.1364155725507836,2.7364155725507846,20.0,159
15410,108,2.5359257147440624,2.3959257147440627,7.0,79
15462,109,2.118211198585073,2.098211198585073,1.0,52
15535,110,2.627126772760672,2.6071267727606724,1.0,73
15610,111,2.744624750061552,2.744624750061552,0.0,75
15667,112,1.547660195050525,1.547660195050525,0.0,57
15707,113,1.7453457734003017,1.7453457734003017,0.0,40
15835,114,1.747079598522896,1.707079598522896,2.0,128
15959,115,2.1269517424510367,2.1269517424510367,0.0,124
15994,116,1.569857264357081,1.569857264357081,0.0,35
16070,117,2.7608366535345468,2.4808366535345465,14.0,76
16120,118,1.5380160480790506,1.5380160480790506,0.0,50
16175,119,2.0885102023175626,2.0885102023175626,0.0,55
16302,120,2.092255598127161,1.472255598127161,31.0,127
16381,121,2.3202719560076317,2.3202719560076317,0.0,79
16661,122,2.626752702696363,0.24675270269636151,119.0,280
16693,123,1.4147720379735589,1.4147720379735589,0.0,32
16742,124,2.0287030576272365,2.0287030576272365,0.0,49
16822,125,3.0100638269947795,3.0100638269947795,0.0,80
16850,126,1.3282035231162335,1.3282035231162335,0.0,28
16899,127,2.0260328633260913,2.0260328633260913,0.0,49
17043,128,2.3892374764637045,2.089237476463704,15.0,144
17160,129,3.9922755940911854,3.712275594091186,14.0,117
17335,130,2.625362182452117,2.605362182452117,1.0,175
17463,131,2.163354767963,2.163354767963,0.0,128
17491,132,1.383027884811783,1.383027884811783,0.0,28
17679,133,2.9121226037726196,2.4521226037726205,23.0,188
17763,134,3.140045659889137,3.140045659889137,0.0,84
17860,135,2.89061857055329,2.65061857055329,12.0,97
17939,136,2.707333210523516,2.4473332105235155,13.0,79
18093,137,3.003932295956663,2.803932295956663,10.0,154
18160,138,2.672771686325585,2.4727716863255846,10.0,67
18218,139,1.984001900874857,1.984001900874857,0.0,58
18302,140,3.1973439567928024,3.0773439567928023,6.0,84
18374,141,2.304587065743185,2.0645870657431846,12.0,72
18491,142,2.235888384050753,2.1958883840507535,2.0,117
18929,143,1.9543505059939954,1.9543505059939954,0.0,438
19265,144,3.5419565567976035,1.5419565567976004,100.0,336
19327,145,2.480963984161435,2.280963984161435,10.0,62
19381,146,1.8453585014919067,1.8453585014919067,0.0,54
19521,147,3.266645601336858,3.026645601336858,12.0,140
19830,148,2.089708562943632,1.3897085629436319,35.0,309
19858,149,1.346916346515536,1.346916346515536,0.0,28
19901,150,1.8003520435957725,1.7003520435957724,5.0,43
20049,151,2.094918898223256,1.814918898223256,14.0,148
20290,152,3.7331135967210227,3.6131135967210235,6.0,241
20372,153,2.8614028915204273,2.8614028915204273,0.0,82
20480,154,1.6684304064246795,1.6684304064246795,0.0,108
20581,155,2.814571513254756,2.814571513254756,0.0,101
20708,156,2.1098509572628705,2.1098509572628705,0.0,127
