name,mean_reward,std_reward,mean_cost,std_cost
TD3,13.484488196119333,5.250451257748228,234.14,129.32146148261702
SAC 0 to 0.005,9.07958770972718,7.361066171251643,317.88,233.14241484551883
SAC 0 to 0.05,10.06221187924868,7.523719140267574,274.64,183.96029571622242
SAC 0.05 to 0.1,2.2446640567249054,2.9881683519822366,165.9,200.2176066183991
"SAC 0.005 to 0.01, AR=1",7.215630292007253,5.643106709850803,190.12,205.04308230223225
Random,-0.0682407690415624,0.7775253670463476,47.14,76.84608252864943
Rule-based,7.447603880499897,6.212606114536751,222.28,211.21060958199993
